ReceiptDate;Qty;Month;Year;WeekDay;LastQty;Interval;PeriodsSepLastTwoNnZeroDemands;ZNZDemand
2020-07-30;1;7;2020;3;;;;1
2020-07-31;0;7;2020;4;1.0;1.0;;0
2020-08-01;0;8;2020;5;1.0;2.0;;0
2020-08-02;0;8;2020;6;1.0;3.0;;0
2020-08-03;0;8;2020;0;1.0;4.0;;0
2020-08-04;0;8;2020;1;1.0;5.0;;0
2020-08-05;0;8;2020;2;1.0;6.0;;0
2020-08-06;0;8;2020;3;1.0;7.0;;0
2020-08-07;0;8;2020;4;1.0;8.0;;0
2020-08-08;0;8;2020;5;1.0;9.0;;0
2020-08-09;0;8;2020;6;1.0;10.0;;0
2020-08-10;0;8;2020;0;1.0;11.0;;0
2020-08-11;0;8;2020;1;1.0;12.0;;0
2020-08-12;0;8;2020;2;1.0;13.0;;0
2020-08-13;0;8;2020;3;1.0;14.0;;0
2020-08-14;0;8;2020;4;1.0;15.0;;0
2020-08-15;0;8;2020;5;1.0;16.0;;0
2020-08-16;0;8;2020;6;1.0;17.0;;0
2020-08-17;0;8;2020;0;1.0;18.0;;0
2020-08-18;0;8;2020;1;1.0;19.0;;0
2020-08-19;0;8;2020;2;1.0;20.0;;0
2020-08-20;0;8;2020;3;1.0;21.0;;0
2020-08-21;0;8;2020;4;1.0;22.0;;0
2020-08-22;0;8;2020;5;1.0;23.0;;0
2020-08-23;0;8;2020;6;1.0;24.0;;0
2020-08-24;0;8;2020;0;1.0;25.0;;0
2020-08-25;0;8;2020;1;1.0;26.0;;0
2020-08-26;0;8;2020;2;1.0;27.0;;0
2020-08-27;0;8;2020;3;1.0;28.0;;0
2020-08-28;0;8;2020;4;1.0;29.0;;0
2020-08-29;0;8;2020;5;1.0;30.0;;0
2020-08-30;0;8;2020;6;1.0;31.0;;0
2020-08-31;0;8;2020;0;1.0;32.0;;0
2020-09-01;0;9;2020;1;1.0;33.0;;0
2020-09-02;0;9;2020;2;1.0;34.0;;0
2020-09-03;0;9;2020;3;1.0;35.0;;0
2020-09-04;0;9;2020;4;1.0;36.0;;0
2020-09-05;0;9;2020;5;1.0;37.0;;0
2020-09-06;0;9;2020;6;1.0;38.0;;0
2020-09-07;0;9;2020;0;1.0;39.0;;0
2020-09-08;0;9;2020;1;1.0;40.0;;0
2020-09-09;0;9;2020;2;1.0;41.0;;0
2020-09-10;0;9;2020;3;1.0;42.0;;0
