ReceiptDate;Qty;Month;Year;WeekDay;LastQty;Interval;PeriodsSepLastTwoNnZeroDemands;ZNZDemand
2020-05-22;1;5;2020;4;;;;1
2020-05-23;0;5;2020;5;1.0;1.0;;0
2020-05-24;0;5;2020;6;1.0;2.0;;0
2020-05-25;0;5;2020;0;1.0;3.0;;0
2020-05-26;0;5;2020;1;1.0;4.0;;0
2020-05-27;0;5;2020;2;1.0;5.0;;0
2020-05-28;0;5;2020;3;1.0;6.0;;0
2020-05-29;0;5;2020;4;1.0;7.0;;0
2020-05-30;0;5;2020;5;1.0;8.0;;0
2020-05-31;0;5;2020;6;1.0;9.0;;0
2020-06-01;0;6;2020;0;1.0;10.0;;0
2020-06-02;0;6;2020;1;1.0;11.0;;0
2020-06-03;0;6;2020;2;1.0;12.0;;0
2020-06-04;0;6;2020;3;1.0;13.0;;0
2020-06-05;0;6;2020;4;1.0;14.0;;0
2020-06-06;0;6;2020;5;1.0;15.0;;0
2020-06-07;0;6;2020;6;1.0;16.0;;0
2020-06-08;0;6;2020;0;1.0;17.0;;0
2020-06-09;1;6;2020;1;1.0;18.0;;1
2020-06-10;0;6;2020;2;1.0;1.0;18.0;0
2020-06-11;0;6;2020;3;1.0;2.0;18.0;0
2020-06-12;0;6;2020;4;1.0;3.0;18.0;0
2020-06-13;0;6;2020;5;1.0;4.0;18.0;0
2020-06-14;0;6;2020;6;1.0;5.0;18.0;0
2020-06-15;0;6;2020;0;1.0;6.0;18.0;0
2020-06-16;0;6;2020;1;1.0;7.0;18.0;0
2020-06-17;0;6;2020;2;1.0;8.0;18.0;0
2020-06-18;0;6;2020;3;1.0;9.0;18.0;0
2020-06-19;0;6;2020;4;1.0;10.0;18.0;0
2020-06-20;0;6;2020;5;1.0;11.0;18.0;0
2020-06-21;0;6;2020;6;1.0;12.0;18.0;0
2020-06-22;0;6;2020;0;1.0;13.0;18.0;0
2020-06-23;0;6;2020;1;1.0;14.0;18.0;0
2020-06-24;0;6;2020;2;1.0;15.0;18.0;0
2020-06-25;0;6;2020;3;1.0;16.0;18.0;0
2020-06-26;1;6;2020;4;1.0;17.0;18.0;1
2020-06-27;0;6;2020;5;1.0;1.0;17.0;0
2020-06-28;0;6;2020;6;1.0;2.0;17.0;0
2020-06-29;0;6;2020;0;1.0;3.0;17.0;0
2020-06-30;0;6;2020;1;1.0;4.0;17.0;0
2020-07-01;0;7;2020;2;1.0;5.0;17.0;0
2020-07-02;0;7;2020;3;1.0;6.0;17.0;0
2020-07-03;0;7;2020;4;1.0;7.0;17.0;0
2020-07-04;0;7;2020;5;1.0;8.0;17.0;0
2020-07-05;0;7;2020;6;1.0;9.0;17.0;0
2020-07-06;0;7;2020;0;1.0;10.0;17.0;0
2020-07-07;0;7;2020;1;1.0;11.0;17.0;0
2020-07-08;0;7;2020;2;1.0;12.0;17.0;0
2020-07-09;0;7;2020;3;1.0;13.0;17.0;0
2020-07-10;0;7;2020;4;1.0;14.0;17.0;0
2020-07-11;0;7;2020;5;1.0;15.0;17.0;0
2020-07-12;0;7;2020;6;1.0;16.0;17.0;0
2020-07-13;0;7;2020;0;1.0;17.0;17.0;0
2020-07-14;0;7;2020;1;1.0;18.0;17.0;0
2020-07-15;0;7;2020;2;1.0;19.0;17.0;0
2020-07-16;0;7;2020;3;1.0;20.0;17.0;0
2020-07-17;0;7;2020;4;1.0;21.0;17.0;0
2020-07-18;0;7;2020;5;1.0;22.0;17.0;0
2020-07-19;0;7;2020;6;1.0;23.0;17.0;0
2020-07-20;0;7;2020;0;1.0;24.0;17.0;0
2020-07-21;1;7;2020;1;1.0;25.0;17.0;1
2020-07-22;0;7;2020;2;1.0;1.0;25.0;0
2020-07-23;0;7;2020;3;1.0;2.0;25.0;0
2020-07-24;0;7;2020;4;1.0;3.0;25.0;0
2020-07-25;0;7;2020;5;1.0;4.0;25.0;0
2020-07-26;0;7;2020;6;1.0;5.0;25.0;0
2020-07-27;0;7;2020;0;1.0;6.0;25.0;0
2020-07-28;0;7;2020;1;1.0;7.0;25.0;0
2020-07-29;0;7;2020;2;1.0;8.0;25.0;0
2020-07-30;0;7;2020;3;1.0;9.0;25.0;0
2020-07-31;0;7;2020;4;1.0;10.0;25.0;0
2020-08-01;0;8;2020;5;1.0;11.0;25.0;0
2020-08-02;0;8;2020;6;1.0;12.0;25.0;0
2020-08-03;0;8;2020;0;1.0;13.0;25.0;0
2020-08-04;0;8;2020;1;1.0;14.0;25.0;0
2020-08-05;0;8;2020;2;1.0;15.0;25.0;0
2020-08-06;0;8;2020;3;1.0;16.0;25.0;0
2020-08-07;0;8;2020;4;1.0;17.0;25.0;0
2020-08-08;0;8;2020;5;1.0;18.0;25.0;0
2020-08-09;0;8;2020;6;1.0;19.0;25.0;0
2020-08-10;0;8;2020;0;1.0;20.0;25.0;0
2020-08-11;0;8;2020;1;1.0;21.0;25.0;0
2020-08-12;0;8;2020;2;1.0;22.0;25.0;0
2020-08-13;0;8;2020;3;1.0;23.0;25.0;0
2020-08-14;0;8;2020;4;1.0;24.0;25.0;0
2020-08-15;0;8;2020;5;1.0;25.0;25.0;0
2020-08-16;0;8;2020;6;1.0;26.0;25.0;0
2020-08-17;0;8;2020;0;1.0;27.0;25.0;0
2020-08-18;0;8;2020;1;1.0;28.0;25.0;0
2020-08-19;0;8;2020;2;1.0;29.0;25.0;0
2020-08-20;0;8;2020;3;1.0;30.0;25.0;0
2020-08-21;0;8;2020;4;1.0;31.0;25.0;0
2020-08-22;0;8;2020;5;1.0;32.0;25.0;0
2020-08-23;0;8;2020;6;1.0;33.0;25.0;0
2020-08-24;0;8;2020;0;1.0;34.0;25.0;0
2020-08-25;0;8;2020;1;1.0;35.0;25.0;0
2020-08-26;0;8;2020;2;1.0;36.0;25.0;0
2020-08-27;0;8;2020;3;1.0;37.0;25.0;0
2020-08-28;0;8;2020;4;1.0;38.0;25.0;0
2020-08-29;0;8;2020;5;1.0;39.0;25.0;0
2020-08-30;0;8;2020;6;1.0;40.0;25.0;0
2020-08-31;0;8;2020;0;1.0;41.0;25.0;0
2020-09-01;0;9;2020;1;1.0;42.0;25.0;0
2020-09-02;0;9;2020;2;1.0;43.0;25.0;0
2020-09-03;0;9;2020;3;1.0;44.0;25.0;0
2020-09-04;0;9;2020;4;1.0;45.0;25.0;0
2020-09-05;0;9;2020;5;1.0;46.0;25.0;0
2020-09-06;0;9;2020;6;1.0;47.0;25.0;0
2020-09-07;0;9;2020;0;1.0;48.0;25.0;0
2020-09-08;0;9;2020;1;1.0;49.0;25.0;0
2020-09-09;0;9;2020;2;1.0;50.0;25.0;0
2020-09-10;0;9;2020;3;1.0;51.0;25.0;0
2020-09-11;0;9;2020;4;1.0;52.0;25.0;0
2020-09-12;0;9;2020;5;1.0;53.0;25.0;0
2020-09-13;0;9;2020;6;1.0;54.0;25.0;0
2020-09-14;0;9;2020;0;1.0;55.0;25.0;0
2020-09-15;0;9;2020;1;1.0;56.0;25.0;0
2020-09-16;0;9;2020;2;1.0;57.0;25.0;0
2020-09-17;0;9;2020;3;1.0;58.0;25.0;0
2020-09-18;0;9;2020;4;1.0;59.0;25.0;0
2020-09-19;0;9;2020;5;1.0;60.0;25.0;0
2020-09-20;0;9;2020;6;1.0;61.0;25.0;0
2020-09-21;0;9;2020;0;1.0;62.0;25.0;0
2020-09-22;0;9;2020;1;1.0;63.0;25.0;0
2020-09-23;0;9;2020;2;1.0;64.0;25.0;0
2020-09-24;0;9;2020;3;1.0;65.0;25.0;0
2020-09-25;0;9;2020;4;1.0;66.0;25.0;0
2020-09-26;0;9;2020;5;1.0;67.0;25.0;0
2020-09-27;0;9;2020;6;1.0;68.0;25.0;0
2020-09-28;0;9;2020;0;1.0;69.0;25.0;0
2020-09-29;0;9;2020;1;1.0;70.0;25.0;0
2020-09-30;0;9;2020;2;1.0;71.0;25.0;0
2020-10-01;0;10;2020;3;1.0;72.0;25.0;0
2020-10-02;0;10;2020;4;1.0;73.0;25.0;0
2020-10-03;0;10;2020;5;1.0;74.0;25.0;0
2020-10-04;0;10;2020;6;1.0;75.0;25.0;0
2020-10-05;0;10;2020;0;1.0;76.0;25.0;0
2020-10-06;0;10;2020;1;1.0;77.0;25.0;0
2020-10-07;0;10;2020;2;1.0;78.0;25.0;0
2020-10-08;0;10;2020;3;1.0;79.0;25.0;0
2020-10-09;0;10;2020;4;1.0;80.0;25.0;0
2020-10-10;0;10;2020;5;1.0;81.0;25.0;0
2020-10-11;0;10;2020;6;1.0;82.0;25.0;0
2020-10-12;0;10;2020;0;1.0;83.0;25.0;0
2020-10-13;0;10;2020;1;1.0;84.0;25.0;0
2020-10-14;0;10;2020;2;1.0;85.0;25.0;0
2020-10-15;0;10;2020;3;1.0;86.0;25.0;0
2020-10-16;0;10;2020;4;1.0;87.0;25.0;0
2020-10-17;0;10;2020;5;1.0;88.0;25.0;0
2020-10-18;0;10;2020;6;1.0;89.0;25.0;0
2020-10-19;0;10;2020;0;1.0;90.0;25.0;0
2020-10-20;0;10;2020;1;1.0;91.0;25.0;0
2020-10-21;0;10;2020;2;1.0;92.0;25.0;0
2020-10-22;0;10;2020;3;1.0;93.0;25.0;0
2020-10-23;0;10;2020;4;1.0;94.0;25.0;0
2020-10-24;0;10;2020;5;1.0;95.0;25.0;0
