ReceiptDate;Qty;Month;Year;WeekDay;LastQty;Interval;PeriodsSepLastTwoNnZeroDemands;ZNZDemand
2017-10-12;8;10;2017;3;;;;1
2017-10-13;0;10;2017;4;8.0;1.0;;0
2017-10-14;0;10;2017;5;8.0;2.0;;0
2017-10-15;0;10;2017;6;8.0;3.0;;0
2017-10-16;0;10;2017;0;8.0;4.0;;0
2017-10-17;0;10;2017;1;8.0;5.0;;0
2017-10-18;0;10;2017;2;8.0;6.0;;0
2017-10-19;0;10;2017;3;8.0;7.0;;0
2017-10-20;0;10;2017;4;8.0;8.0;;0
2017-10-21;0;10;2017;5;8.0;9.0;;0
2017-10-22;0;10;2017;6;8.0;10.0;;0
2017-10-23;0;10;2017;0;8.0;11.0;;0
2017-10-24;0;10;2017;1;8.0;12.0;;0
2017-10-25;0;10;2017;2;8.0;13.0;;0
2017-10-26;0;10;2017;3;8.0;14.0;;0
2017-10-27;0;10;2017;4;8.0;15.0;;0
2017-10-28;0;10;2017;5;8.0;16.0;;0
2017-10-29;0;10;2017;6;8.0;17.0;;0
2017-10-30;0;10;2017;0;8.0;18.0;;0
2017-10-31;0;10;2017;1;8.0;19.0;;0
2017-11-01;0;11;2017;2;8.0;20.0;;0
2017-11-02;0;11;2017;3;8.0;21.0;;0
2017-11-03;0;11;2017;4;8.0;22.0;;0
2017-11-04;0;11;2017;5;8.0;23.0;;0
2017-11-05;0;11;2017;6;8.0;24.0;;0
2017-11-06;0;11;2017;0;8.0;25.0;;0
2017-11-07;0;11;2017;1;8.0;26.0;;0
2017-11-08;0;11;2017;2;8.0;27.0;;0
2017-11-09;0;11;2017;3;8.0;28.0;;0
2017-11-10;0;11;2017;4;8.0;29.0;;0
2017-11-11;0;11;2017;5;8.0;30.0;;0
2017-11-12;0;11;2017;6;8.0;31.0;;0
2017-11-13;0;11;2017;0;8.0;32.0;;0
2017-11-14;0;11;2017;1;8.0;33.0;;0
2017-11-15;0;11;2017;2;8.0;34.0;;0
2017-11-16;0;11;2017;3;8.0;35.0;;0
2017-11-17;0;11;2017;4;8.0;36.0;;0
2017-11-18;0;11;2017;5;8.0;37.0;;0
2017-11-19;0;11;2017;6;8.0;38.0;;0
2017-11-20;0;11;2017;0;8.0;39.0;;0
2017-11-21;0;11;2017;1;8.0;40.0;;0
2017-11-22;0;11;2017;2;8.0;41.0;;0
2017-11-23;0;11;2017;3;8.0;42.0;;0
2017-11-24;0;11;2017;4;8.0;43.0;;0
2017-11-25;0;11;2017;5;8.0;44.0;;0
2017-11-26;0;11;2017;6;8.0;45.0;;0
2017-11-27;0;11;2017;0;8.0;46.0;;0
2017-11-28;0;11;2017;1;8.0;47.0;;0
2017-11-29;0;11;2017;2;8.0;48.0;;0
2017-11-30;0;11;2017;3;8.0;49.0;;0
2017-12-01;0;12;2017;4;8.0;50.0;;0
2017-12-02;0;12;2017;5;8.0;51.0;;0
2017-12-03;0;12;2017;6;8.0;52.0;;0
2017-12-04;0;12;2017;0;8.0;53.0;;0
2017-12-05;0;12;2017;1;8.0;54.0;;0
2017-12-06;0;12;2017;2;8.0;55.0;;0
2017-12-07;0;12;2017;3;8.0;56.0;;0
2017-12-08;0;12;2017;4;8.0;57.0;;0
2017-12-09;0;12;2017;5;8.0;58.0;;0
2017-12-10;0;12;2017;6;8.0;59.0;;0
2017-12-11;0;12;2017;0;8.0;60.0;;0
2017-12-12;0;12;2017;1;8.0;61.0;;0
2017-12-13;0;12;2017;2;8.0;62.0;;0
2017-12-14;0;12;2017;3;8.0;63.0;;0
2017-12-15;0;12;2017;4;8.0;64.0;;0
2017-12-16;0;12;2017;5;8.0;65.0;;0
2017-12-17;0;12;2017;6;8.0;66.0;;0
2017-12-18;0;12;2017;0;8.0;67.0;;0
2017-12-19;0;12;2017;1;8.0;68.0;;0
2017-12-20;0;12;2017;2;8.0;69.0;;0
2017-12-21;0;12;2017;3;8.0;70.0;;0
2017-12-22;0;12;2017;4;8.0;71.0;;0
2017-12-23;0;12;2017;5;8.0;72.0;;0
2017-12-24;0;12;2017;6;8.0;73.0;;0
2017-12-25;0;12;2017;0;8.0;74.0;;0
2017-12-26;0;12;2017;1;8.0;75.0;;0
2017-12-27;0;12;2017;2;8.0;76.0;;0
2017-12-28;0;12;2017;3;8.0;77.0;;0
2017-12-29;0;12;2017;4;8.0;78.0;;0
2017-12-30;0;12;2017;5;8.0;79.0;;0
2017-12-31;0;12;2017;6;8.0;80.0;;0
2018-01-01;0;1;2018;0;8.0;81.0;;0
2018-01-02;0;1;2018;1;8.0;82.0;;0
2018-01-03;0;1;2018;2;8.0;83.0;;0
2018-01-04;0;1;2018;3;8.0;84.0;;0
2018-01-05;0;1;2018;4;8.0;85.0;;0
2018-01-06;0;1;2018;5;8.0;86.0;;0
2018-01-07;0;1;2018;6;8.0;87.0;;0
2018-01-08;0;1;2018;0;8.0;88.0;;0
2018-01-09;0;1;2018;1;8.0;89.0;;0
2018-01-10;0;1;2018;2;8.0;90.0;;0
2018-01-11;0;1;2018;3;8.0;91.0;;0
2018-01-12;0;1;2018;4;8.0;92.0;;0
2018-01-13;0;1;2018;5;8.0;93.0;;0
2018-01-14;0;1;2018;6;8.0;94.0;;0
2018-01-15;0;1;2018;0;8.0;95.0;;0
2018-01-16;0;1;2018;1;8.0;96.0;;0
2018-01-17;0;1;2018;2;8.0;97.0;;0
2018-01-18;0;1;2018;3;8.0;98.0;;0
2018-01-19;0;1;2018;4;8.0;99.0;;0
2018-01-20;0;1;2018;5;8.0;100.0;;0
2018-01-21;0;1;2018;6;8.0;101.0;;0
2018-01-22;0;1;2018;0;8.0;102.0;;0
2018-01-23;0;1;2018;1;8.0;103.0;;0
2018-01-24;0;1;2018;2;8.0;104.0;;0
2018-01-25;0;1;2018;3;8.0;105.0;;0
2018-01-26;0;1;2018;4;8.0;106.0;;0
2018-01-27;0;1;2018;5;8.0;107.0;;0
2018-01-28;0;1;2018;6;8.0;108.0;;0
2018-01-29;0;1;2018;0;8.0;109.0;;0
2018-01-30;0;1;2018;1;8.0;110.0;;0
2018-01-31;0;1;2018;2;8.0;111.0;;0
2018-02-01;0;2;2018;3;8.0;112.0;;0
2018-02-02;0;2;2018;4;8.0;113.0;;0
2018-02-03;0;2;2018;5;8.0;114.0;;0
2018-02-04;0;2;2018;6;8.0;115.0;;0
2018-02-05;0;2;2018;0;8.0;116.0;;0
2018-02-06;0;2;2018;1;8.0;117.0;;0
2018-02-07;0;2;2018;2;8.0;118.0;;0
2018-02-08;0;2;2018;3;8.0;119.0;;0
2018-02-09;0;2;2018;4;8.0;120.0;;0
2018-02-10;0;2;2018;5;8.0;121.0;;0
2018-02-11;0;2;2018;6;8.0;122.0;;0
2018-02-12;0;2;2018;0;8.0;123.0;;0
2018-02-13;0;2;2018;1;8.0;124.0;;0
2018-02-14;0;2;2018;2;8.0;125.0;;0
2018-02-15;0;2;2018;3;8.0;126.0;;0
2018-02-16;0;2;2018;4;8.0;127.0;;0
2018-02-17;0;2;2018;5;8.0;128.0;;0
2018-02-18;0;2;2018;6;8.0;129.0;;0
2018-02-19;0;2;2018;0;8.0;130.0;;0
2018-02-20;0;2;2018;1;8.0;131.0;;0
2018-02-21;0;2;2018;2;8.0;132.0;;0
2018-02-22;0;2;2018;3;8.0;133.0;;0
2018-02-23;0;2;2018;4;8.0;134.0;;0
2018-02-24;0;2;2018;5;8.0;135.0;;0
2018-02-25;0;2;2018;6;8.0;136.0;;0
2018-02-26;0;2;2018;0;8.0;137.0;;0
2018-02-27;0;2;2018;1;8.0;138.0;;0
2018-02-28;0;2;2018;2;8.0;139.0;;0
2018-03-01;0;3;2018;3;8.0;140.0;;0
2018-03-02;0;3;2018;4;8.0;141.0;;0
2018-03-03;0;3;2018;5;8.0;142.0;;0
2018-03-04;0;3;2018;6;8.0;143.0;;0
2018-03-05;0;3;2018;0;8.0;144.0;;0
2018-03-06;0;3;2018;1;8.0;145.0;;0
2018-03-07;0;3;2018;2;8.0;146.0;;0
2018-03-08;0;3;2018;3;8.0;147.0;;0
2018-03-09;0;3;2018;4;8.0;148.0;;0
2018-03-10;0;3;2018;5;8.0;149.0;;0
2018-03-11;0;3;2018;6;8.0;150.0;;0
2018-03-12;0;3;2018;0;8.0;151.0;;0
2018-03-13;0;3;2018;1;8.0;152.0;;0
2018-03-14;0;3;2018;2;8.0;153.0;;0
2018-03-15;0;3;2018;3;8.0;154.0;;0
2018-03-16;0;3;2018;4;8.0;155.0;;0
2018-03-17;0;3;2018;5;8.0;156.0;;0
2018-03-18;0;3;2018;6;8.0;157.0;;0
2018-03-19;0;3;2018;0;8.0;158.0;;0
2018-03-20;0;3;2018;1;8.0;159.0;;0
2018-03-21;0;3;2018;2;8.0;160.0;;0
2018-03-22;0;3;2018;3;8.0;161.0;;0
2018-03-23;0;3;2018;4;8.0;162.0;;0
2018-03-24;0;3;2018;5;8.0;163.0;;0
2018-03-25;0;3;2018;6;8.0;164.0;;0
2018-03-26;0;3;2018;0;8.0;165.0;;0
2018-03-27;0;3;2018;1;8.0;166.0;;0
2018-03-28;0;3;2018;2;8.0;167.0;;0
2018-03-29;0;3;2018;3;8.0;168.0;;0
2018-03-30;0;3;2018;4;8.0;169.0;;0
2018-03-31;0;3;2018;5;8.0;170.0;;0
2018-04-01;0;4;2018;6;8.0;171.0;;0
2018-04-02;0;4;2018;0;8.0;172.0;;0
2018-04-03;0;4;2018;1;8.0;173.0;;0
2018-04-04;0;4;2018;2;8.0;174.0;;0
2018-04-05;0;4;2018;3;8.0;175.0;;0
2018-04-06;0;4;2018;4;8.0;176.0;;0
2018-04-07;0;4;2018;5;8.0;177.0;;0
2018-04-08;0;4;2018;6;8.0;178.0;;0
2018-04-09;0;4;2018;0;8.0;179.0;;0
2018-04-10;0;4;2018;1;8.0;180.0;;0
2018-04-11;0;4;2018;2;8.0;181.0;;0
2018-04-12;0;4;2018;3;8.0;182.0;;0
2018-04-13;0;4;2018;4;8.0;183.0;;0
2018-04-14;0;4;2018;5;8.0;184.0;;0
