ReceiptDate;Qty;Month;Year;WeekDay;LastQty;Interval;PeriodsSepLastTwoNnZeroDemands;ZNZDemand
2018-12-19;4;12;2018;2;;;;1
2018-12-20;0;12;2018;3;4.0;1.0;;0
2018-12-21;0;12;2018;4;4.0;2.0;;0
2018-12-22;0;12;2018;5;4.0;3.0;;0
2018-12-23;0;12;2018;6;4.0;4.0;;0
2018-12-24;0;12;2018;0;4.0;5.0;;0
2018-12-25;0;12;2018;1;4.0;6.0;;0
2018-12-26;0;12;2018;2;4.0;7.0;;0
2018-12-27;0;12;2018;3;4.0;8.0;;0
2018-12-28;0;12;2018;4;4.0;9.0;;0
2018-12-29;0;12;2018;5;4.0;10.0;;0
2018-12-30;0;12;2018;6;4.0;11.0;;0
2018-12-31;0;12;2018;0;4.0;12.0;;0
2019-01-01;0;1;2019;1;4.0;13.0;;0
2019-01-02;0;1;2019;2;4.0;14.0;;0
2019-01-03;0;1;2019;3;4.0;15.0;;0
2019-01-04;0;1;2019;4;4.0;16.0;;0
2019-01-05;0;1;2019;5;4.0;17.0;;0
2019-01-06;0;1;2019;6;4.0;18.0;;0
2019-01-07;0;1;2019;0;4.0;19.0;;0
2019-01-08;4;1;2019;1;4.0;20.0;;1
2019-01-09;0;1;2019;2;4.0;1.0;20.0;0
2019-01-10;0;1;2019;3;4.0;2.0;20.0;0
2019-01-11;0;1;2019;4;4.0;3.0;20.0;0
2019-01-12;0;1;2019;5;4.0;4.0;20.0;0
2019-01-13;0;1;2019;6;4.0;5.0;20.0;0
2019-01-14;0;1;2019;0;4.0;6.0;20.0;0
2019-01-15;0;1;2019;1;4.0;7.0;20.0;0
2019-01-16;0;1;2019;2;4.0;8.0;20.0;0
2019-01-17;8;1;2019;3;4.0;9.0;20.0;1
2019-01-18;0;1;2019;4;8.0;1.0;9.0;0
2019-01-19;0;1;2019;5;8.0;2.0;9.0;0
2019-01-20;0;1;2019;6;8.0;3.0;9.0;0
2019-01-21;0;1;2019;0;8.0;4.0;9.0;0
2019-01-22;0;1;2019;1;8.0;5.0;9.0;0
2019-01-23;0;1;2019;2;8.0;6.0;9.0;0
2019-01-24;0;1;2019;3;8.0;7.0;9.0;0
2019-01-25;0;1;2019;4;8.0;8.0;9.0;0
2019-01-26;0;1;2019;5;8.0;9.0;9.0;0
2019-01-27;0;1;2019;6;8.0;10.0;9.0;0
2019-01-28;0;1;2019;0;8.0;11.0;9.0;0
2019-01-29;0;1;2019;1;8.0;12.0;9.0;0
2019-01-30;0;1;2019;2;8.0;13.0;9.0;0
2019-01-31;0;1;2019;3;8.0;14.0;9.0;0
2019-02-01;12;2;2019;4;8.0;15.0;9.0;1
2019-02-02;0;2;2019;5;12.0;1.0;15.0;0
2019-02-03;0;2;2019;6;12.0;2.0;15.0;0
2019-02-04;0;2;2019;0;12.0;3.0;15.0;0
2019-02-05;0;2;2019;1;12.0;4.0;15.0;0
2019-02-06;0;2;2019;2;12.0;5.0;15.0;0
2019-02-07;0;2;2019;3;12.0;6.0;15.0;0
2019-02-08;0;2;2019;4;12.0;7.0;15.0;0
2019-02-09;0;2;2019;5;12.0;8.0;15.0;0
2019-02-10;0;2;2019;6;12.0;9.0;15.0;0
2019-02-11;0;2;2019;0;12.0;10.0;15.0;0
2019-02-12;0;2;2019;1;12.0;11.0;15.0;0
2019-02-13;7;2;2019;2;12.0;12.0;15.0;1
2019-02-14;0;2;2019;3;7.0;1.0;12.0;0
2019-02-15;0;2;2019;4;7.0;2.0;12.0;0
2019-02-16;0;2;2019;5;7.0;3.0;12.0;0
2019-02-17;0;2;2019;6;7.0;4.0;12.0;0
2019-02-18;3;2;2019;0;7.0;5.0;12.0;1
2019-02-19;0;2;2019;1;3.0;1.0;5.0;0
2019-02-20;0;2;2019;2;3.0;2.0;5.0;0
2019-02-21;8;2;2019;3;3.0;3.0;5.0;1
2019-02-22;0;2;2019;4;8.0;1.0;3.0;0
2019-02-23;0;2;2019;5;8.0;2.0;3.0;0
2019-02-24;0;2;2019;6;8.0;3.0;3.0;0
2019-02-25;0;2;2019;0;8.0;4.0;3.0;0
2019-02-26;0;2;2019;1;8.0;5.0;3.0;0
2019-02-27;0;2;2019;2;8.0;6.0;3.0;0
2019-02-28;0;2;2019;3;8.0;7.0;3.0;0
2019-03-01;0;3;2019;4;8.0;8.0;3.0;0
2019-03-02;0;3;2019;5;8.0;9.0;3.0;0
2019-03-03;0;3;2019;6;8.0;10.0;3.0;0
2019-03-04;0;3;2019;0;8.0;11.0;3.0;0
2019-03-05;3;3;2019;1;8.0;12.0;3.0;1
2019-03-06;0;3;2019;2;3.0;1.0;12.0;0
2019-03-07;0;3;2019;3;3.0;2.0;12.0;0
2019-03-08;10;3;2019;4;3.0;3.0;12.0;1
2019-03-09;0;3;2019;5;10.0;1.0;3.0;0
2019-03-10;0;3;2019;6;10.0;2.0;3.0;0
2019-03-11;0;3;2019;0;10.0;3.0;3.0;0
2019-03-12;0;3;2019;1;10.0;4.0;3.0;0
2019-03-13;0;3;2019;2;10.0;5.0;3.0;0
2019-03-14;0;3;2019;3;10.0;6.0;3.0;0
2019-03-15;7;3;2019;4;10.0;7.0;3.0;1
2019-03-16;0;3;2019;5;7.0;1.0;7.0;0
2019-03-17;0;3;2019;6;7.0;2.0;7.0;0
2019-03-18;0;3;2019;0;7.0;3.0;7.0;0
2019-03-19;0;3;2019;1;7.0;4.0;7.0;0
2019-03-20;0;3;2019;2;7.0;5.0;7.0;0
2019-03-21;0;3;2019;3;7.0;6.0;7.0;0
2019-03-22;0;3;2019;4;7.0;7.0;7.0;0
2019-03-23;0;3;2019;5;7.0;8.0;7.0;0
2019-03-24;0;3;2019;6;7.0;9.0;7.0;0
2019-03-25;0;3;2019;0;7.0;10.0;7.0;0
2019-03-26;0;3;2019;1;7.0;11.0;7.0;0
2019-03-27;0;3;2019;2;7.0;12.0;7.0;0
2019-03-28;0;3;2019;3;7.0;13.0;7.0;0
2019-03-29;0;3;2019;4;7.0;14.0;7.0;0
2019-03-30;0;3;2019;5;7.0;15.0;7.0;0
2019-03-31;0;3;2019;6;7.0;16.0;7.0;0
2019-04-01;0;4;2019;0;7.0;17.0;7.0;0
2019-04-02;0;4;2019;1;7.0;18.0;7.0;0
2019-04-03;0;4;2019;2;7.0;19.0;7.0;0
2019-04-04;0;4;2019;3;7.0;20.0;7.0;0
2019-04-05;0;4;2019;4;7.0;21.0;7.0;0
2019-04-06;0;4;2019;5;7.0;22.0;7.0;0
2019-04-07;0;4;2019;6;7.0;23.0;7.0;0
2019-04-08;0;4;2019;0;7.0;24.0;7.0;0
2019-04-09;0;4;2019;1;7.0;25.0;7.0;0
2019-04-10;0;4;2019;2;7.0;26.0;7.0;0
2019-04-11;0;4;2019;3;7.0;27.0;7.0;0
2019-04-12;0;4;2019;4;7.0;28.0;7.0;0
2019-04-13;0;4;2019;5;7.0;29.0;7.0;0
2019-04-14;0;4;2019;6;7.0;30.0;7.0;0
2019-04-15;0;4;2019;0;7.0;31.0;7.0;0
2019-04-16;0;4;2019;1;7.0;32.0;7.0;0
2019-04-17;0;4;2019;2;7.0;33.0;7.0;0
2019-04-18;0;4;2019;3;7.0;34.0;7.0;0
2019-04-19;0;4;2019;4;7.0;35.0;7.0;0
2019-04-20;0;4;2019;5;7.0;36.0;7.0;0
2019-04-21;0;4;2019;6;7.0;37.0;7.0;0
2019-04-22;0;4;2019;0;7.0;38.0;7.0;0
2019-04-23;0;4;2019;1;7.0;39.0;7.0;0
2019-04-24;0;4;2019;2;7.0;40.0;7.0;0
2019-04-25;0;4;2019;3;7.0;41.0;7.0;0
2019-04-26;0;4;2019;4;7.0;42.0;7.0;0
2019-04-27;0;4;2019;5;7.0;43.0;7.0;0
2019-04-28;0;4;2019;6;7.0;44.0;7.0;0
2019-04-29;0;4;2019;0;7.0;45.0;7.0;0
2019-04-30;0;4;2019;1;7.0;46.0;7.0;0
2019-05-01;0;5;2019;2;7.0;47.0;7.0;0
2019-05-02;0;5;2019;3;7.0;48.0;7.0;0
2019-05-03;0;5;2019;4;7.0;49.0;7.0;0
2019-05-04;0;5;2019;5;7.0;50.0;7.0;0
2019-05-05;0;5;2019;6;7.0;51.0;7.0;0
2019-05-06;0;5;2019;0;7.0;52.0;7.0;0
2019-05-07;0;5;2019;1;7.0;53.0;7.0;0
2019-05-08;0;5;2019;2;7.0;54.0;7.0;0
2019-05-09;0;5;2019;3;7.0;55.0;7.0;0
2019-05-10;0;5;2019;4;7.0;56.0;7.0;0
2019-05-11;0;5;2019;5;7.0;57.0;7.0;0
2019-05-12;0;5;2019;6;7.0;58.0;7.0;0
2019-05-13;0;5;2019;0;7.0;59.0;7.0;0
2019-05-14;0;5;2019;1;7.0;60.0;7.0;0
2019-05-15;0;5;2019;2;7.0;61.0;7.0;0
2019-05-16;0;5;2019;3;7.0;62.0;7.0;0
2019-05-17;0;5;2019;4;7.0;63.0;7.0;0
2019-05-18;0;5;2019;5;7.0;64.0;7.0;0
2019-05-19;0;5;2019;6;7.0;65.0;7.0;0
2019-05-20;0;5;2019;0;7.0;66.0;7.0;0
2019-05-21;0;5;2019;1;7.0;67.0;7.0;0
2019-05-22;0;5;2019;2;7.0;68.0;7.0;0
2019-05-23;0;5;2019;3;7.0;69.0;7.0;0
2019-05-24;0;5;2019;4;7.0;70.0;7.0;0
2019-05-25;0;5;2019;5;7.0;71.0;7.0;0
2019-05-26;0;5;2019;6;7.0;72.0;7.0;0
2019-05-27;0;5;2019;0;7.0;73.0;7.0;0
2019-05-28;0;5;2019;1;7.0;74.0;7.0;0
2019-05-29;0;5;2019;2;7.0;75.0;7.0;0
2019-05-30;0;5;2019;3;7.0;76.0;7.0;0
2019-05-31;0;5;2019;4;7.0;77.0;7.0;0
2019-06-01;0;6;2019;5;7.0;78.0;7.0;0
2019-06-02;0;6;2019;6;7.0;79.0;7.0;0
2019-06-03;0;6;2019;0;7.0;80.0;7.0;0
2019-06-04;0;6;2019;1;7.0;81.0;7.0;0
2019-06-05;0;6;2019;2;7.0;82.0;7.0;0
2019-06-06;0;6;2019;3;7.0;83.0;7.0;0
2019-06-07;0;6;2019;4;7.0;84.0;7.0;0
2019-06-08;0;6;2019;5;7.0;85.0;7.0;0
2019-06-09;0;6;2019;6;7.0;86.0;7.0;0
2019-06-10;0;6;2019;0;7.0;87.0;7.0;0
2019-06-11;0;6;2019;1;7.0;88.0;7.0;0
2019-06-12;0;6;2019;2;7.0;89.0;7.0;0
2019-06-13;0;6;2019;3;7.0;90.0;7.0;0
2019-06-14;0;6;2019;4;7.0;91.0;7.0;0
2019-06-15;0;6;2019;5;7.0;92.0;7.0;0
2019-06-16;0;6;2019;6;7.0;93.0;7.0;0
2019-06-17;0;6;2019;0;7.0;94.0;7.0;0
2019-06-18;0;6;2019;1;7.0;95.0;7.0;0
2019-06-19;0;6;2019;2;7.0;96.0;7.0;0
2019-06-20;0;6;2019;3;7.0;97.0;7.0;0
2019-06-21;0;6;2019;4;7.0;98.0;7.0;0
2019-06-22;0;6;2019;5;7.0;99.0;7.0;0
2019-06-23;0;6;2019;6;7.0;100.0;7.0;0
2019-06-24;0;6;2019;0;7.0;101.0;7.0;0
2019-06-25;0;6;2019;1;7.0;102.0;7.0;0
2019-06-26;0;6;2019;2;7.0;103.0;7.0;0
2019-06-27;0;6;2019;3;7.0;104.0;7.0;0
2019-06-28;0;6;2019;4;7.0;105.0;7.0;0
2019-06-29;0;6;2019;5;7.0;106.0;7.0;0
2019-06-30;0;6;2019;6;7.0;107.0;7.0;0
2019-07-01;0;7;2019;0;7.0;108.0;7.0;0
2019-07-02;0;7;2019;1;7.0;109.0;7.0;0
2019-07-03;0;7;2019;2;7.0;110.0;7.0;0
2019-07-04;0;7;2019;3;7.0;111.0;7.0;0
2019-07-05;0;7;2019;4;7.0;112.0;7.0;0
2019-07-06;0;7;2019;5;7.0;113.0;7.0;0
2019-07-07;0;7;2019;6;7.0;114.0;7.0;0
2019-07-08;0;7;2019;0;7.0;115.0;7.0;0
2019-07-09;0;7;2019;1;7.0;116.0;7.0;0
2019-07-10;0;7;2019;2;7.0;117.0;7.0;0
2019-07-11;0;7;2019;3;7.0;118.0;7.0;0
